town,federal_state,longitude,latitude,inhabitants
Vienna,Wien,16.4221587,48.1857192,2028289
Graz,Steiermark,15.4382786,47.0708678,297083
Linz,Oberösterreich,14.286198,48.3059078,204846
Salzburg,Salzburg,13.0464806,47.7981346,153377
Innsbruck,Tirol,11.3927685,47.2654296,132493
Klagenfurt am Wörthersee,Kärnten,14.3075976,46.623943,105256
Villach,Kärnten,13.8500268,46.6167284,65749
Wels,Oberösterreich,14.0243752,48.1565472,61233
Sankt Pölten,Niederösterreich,15.6229118,48.2043985,54649
Dornbirn,Vorarlberg,9.7423762,47.4136351,49278
Wiener Neustadt,Niederösterreich,16.2441166,47.8131847,44820
Steyr,Oberösterreich,14.4191276,48.0390046,38331
Feldkirch,Vorarlberg,9.5981724,47.2375671,33420
Bregenz,Vorarlberg,9.7472924,47.5025779,29806
Leonding,Oberösterreich,14.2487457,48.2793314,28698
Klosterneuburg,Niederösterreich,16.323756,48.30499,27058
Baden bei Wien,Niederösterreich,16.2343693,48.0076713,26286
Leoben,Steiermark,15.0947756,47.3805128,25057
Wolfsberg,Kärnten,14.8452061,46.8390583,24961
Krems an der Donau,Niederösterreich,15.6003717,48.4108382,24610
Traun,Oberösterreich,13.8023057,47.9186081,24477
Amstetten,Niederösterreich,14.8752424,48.1203262,23656
Lustenau,Vorarlberg,9.6599406,47.4276538,22821
Kapfenberg,Steiermark,15.2901669,47.4405481,22251
Hallein,Salzburg,13.0956313,47.6821521,21150
Mödling,Niederösterreich,16.2833526,48.0855922,20555
Kufstein,Tirol,12.1692134,47.582996,19223
Traiskirchen,Niederösterreich,16.3153394,48.0165767,18858
Schwechat,Niederösterreich,16.5848987,48.1049968,18026
Braunau am Inn,Oberösterreich,13.0397862,48.2534159,17095
Stockerau,Niederösterreich,16.2076303,48.3846124,16916
Saalfelden,Salzburg,12.8481048,47.4266166,16700
Hohenems,Vorarlberg,9.689271,47.3639973,16317
Tulln an der Donau,Niederösterreich,16.05179,48.3311702,16197
Ansfelden,Oberösterreich,14.2892608,48.2090744,16194
Bruck an der Mur,Steiermark,15.2721668,47.4121987,15962
Telfs,Tirol,11.071515,47.3046511,15747
Spittal an der Drau,Kärnten,13.4963308,46.7982211,15341
Perchtoldsdorf,Niederösterreich,16.2651702,48.1191393,15047
Ternitz,Niederösterreich,16.0194688,47.7066007,14632
Bludenz,Vorarlberg,9.8219314,47.153037,14539
Feldkirchen in Kärnten,Kärnten,14.0964965,46.7229178,14528
Eisenstadt,Burgenland,16.5249288,47.8454821,14476
Feldbach,Steiermark,15.8886091,46.9527822,14430
Bad Ischl,Oberösterreich,13.6239333,47.7115299,14133
Hall in Tirol,Tirol,11.5075337,47.2816648,13897
Wörgl,Tirol,12.0637633,47.4872718,13811
Schwaz,Tirol,11.7084253,47.3449529,13728
Marchtrenk,Oberösterreich,14.1117625,48.1907992,13603
Hard,Vorarlberg,9.6916539,47.489391,13495
Gmunden,Oberösterreich,13.8003048,47.9185855,13191
Wals-Siezenheim,Salzburg,12.9807,47.7986,13056
Leibnitz,Steiermark,15.5407005,46.7804762,13025
Korneuburg,Niederösterreich,16.3334321,48.3440605,12986
Neunkirchen,Niederösterreich,16.081602,47.7221147,12879
Knittelfeld,Steiermark,14.8297233,47.2147399,12797
Gratwein-Straßengel,Steiermark,15.3304611,47.1231264,12748
Vöcklabruck,Oberösterreich,13.6460378,48.0078587,12299
Sankt Veit an der Glan,Kärnten,14.3576981,46.7672814,12234
Seckau,Steiermark,14.7862002,47.2742316,12072
Bad Vöslau,Niederösterreich,16.2148073,47.9655519,11961
Weiz,Steiermark,15.6221694,47.2174206,11940
Enns,Oberösterreich,14.2170959,47.5549145,11937
Ried im Innkreis,Oberösterreich,13.48839,48.2085868,11903
Brunn am Gebirge,Niederösterreich,16.2836918,48.1070931,11864
Rankweil,Vorarlberg,9.6426923,47.2703808,11855
Lienz,Tirol,12.7681269,46.8298662,11844
Deutschlandsberg,Steiermark,15.2137799,46.8146272,11708
Hollabrunn,Niederösterreich,16.0798033,48.5625384,11681
Mistelbach,Niederösterreich,16.5720327,48.5694535,11559
Götzis,Vorarlberg,9.6440092,47.3351291,11473
Gänserndorf,Niederösterreich,16.7187051,48.3403867,11404
Waidhofen an der Ybbs,Niederösterreich,14.7445188,47.9512695,11333
Gleisdorf,Steiermark,15.7098162,47.1054105,11322
Groß-Enzersdorf,Niederösterreich,16.5519598,48.2018,11206
Gerasdorf bei Wien,Niederösterreich,16.4679227,48.294579,11155
Trofaiach,Steiermark,15.0065515,47.4251065,11053
Sankt Johann im Pongau,Salzburg,13.3,47.3,10944
Ebreichsdorf,Niederösterreich,16.4023629,47.9626455,10942
Zwettl,Niederösterreich,14.9851629,48.602082,10908
Völkermarkt,Kärnten,14.6340505,46.6604246,10902
Seekirchen am Wallersee,Salzburg,13.1260778,47.8942481,10764
Bischofshofen,Salzburg,13.2170933,47.4168029,10540
Imst,Tirol,10.7406982,47.2381536,10504
Lauterach,Vorarlberg,9.7313331,47.4747262,10267
Strasshof an der Nordbahn,Niederösterreich,16.6429437,48.3189487,10009
Laakirchen,Oberösterreich,13.8225156,47.9825598,9861
Zell am See,Salzburg,12.7963165,47.3239636,9852
Sankt Andrä,Kärnten,14.8236111,46.7661111,9840
Altmünster,Oberösterreich,13.7652213,47.9016069,9793
Purkersdorf,Niederösterreich,16.1772068,48.2076724,9701
Köflach,Steiermark,15.0850032,47.0644882,9676
Judenburg,Steiermark,14.6601079,47.1694082,9637
Voitsberg,Steiermark,15.1474771,47.0504742,9507
Finkenstein am Faaker See,Kärnten,13.8713597,46.5659297,9466
