rank,town,federal_state,longitude,latitude,inhabitants,time,interval,temperature_2m,relative_humidity_2m,apparent_temperature,is_day,wind_speed_10m,wind_direction_10m,wind_gusts_10m,precipitation,rain,showers,snowfall,weather_code,cloud_cover,pressure_msl,surface_pressure,timezone,recorded_at,recorded_date,recorded_time
1,Wien,Wien,16.37208,48.20817,2028289,iso8601,900,-1.0,70,-4.7,0,5.4,160,13.7,0.0,0.0,0.0,0.0,0,0,1015.7,991.1,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
2,Graz,Steiermark,15.4395,47.07071,305314,iso8601,900,-1.9,74,-5.5,0,4.7,32,11.2,0.0,0.0,0.0,0.0,0,0,1016.9,971.6,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
3,Linz,Oberösterreich,14.28611,48.30694,213557,iso8601,900,-3.2,64,-6.5,0,0.8,27,5.0,0.0,0.0,0.0,0.0,2,74,1014.7,982.8,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
4,Salzburg,Salzburg,13.05501,47.80949,157659,iso8601,900,1.6,39,-3.0,0,8.7,163,15.1,0.0,0.0,0.0,0.0,3,100,1011.9,959.4,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
5,Innsbruck,Tirol,11.4041,47.26921,132499,iso8601,900,-3.8,74,-7.1,0,1.8,53,3.6,0.0,0.0,0.0,0.0,3,100,1014.0,942.6,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
6,Klagenfurt am Wörthersee,Kärnten,14.30777,46.62618,105256,iso8601,900,-1.3,88,-4.0,0,0.8,27,3.6,0.0,0.0,0.0,0.0,2,63,1017.9,962.2,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
7,Villach,Kärnten,13.85079,46.6103,65749,iso8601,900,-3.5,78,-6.9,0,3.3,354,10.4,0.0,0.0,0.0,0.0,2,76,1017.8,955.6,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
8,Wels,Oberösterreich,14.03224,48.16582,65482,iso8601,900,-4.8,86,-8.4,0,4.6,72,10.1,0.0,0.0,0.0,0.0,3,100,1014.7,974.5,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
9,Sankt Pölten,Niederösterreich,15.64262,48.20357,59767,iso8601,900,-3.5,85,-6.4,0,0.5,135,4.7,0.0,0.0,0.0,0.0,0,0,1015.2,981.2,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
10,Dornbirn,Vorarlberg,9.74609,47.41305,52108,iso8601,900,0.9,63,-2.7,0,5.1,94,8.3,0.0,0.0,0.0,0.0,3,100,1011.4,957.4,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
11,Wiener Neustadt,Niederösterreich,16.23617,47.81364,49156,iso8601,900,-1.7,69,-5.0,0,2.1,121,6.1,0.0,0.0,0.0,0.0,0,0,1015.6,982.1,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
12,Steyr,Oberösterreich,14.419,48.03869,38036,iso8601,900,-3.8,91,-6.9,0,2.5,8,6.1,0.0,0.0,0.0,0.0,2,77,1014.7,976.1,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
13,Feldkirch,Vorarlberg,9.60331,47.24037,36708,iso8601,900,2.8,50,-0.6,0,3.1,126,4.3,0.0,0.0,0.0,0.0,3,100,1010.3,954.8,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
14,Bregenz,Vorarlberg,9.748,47.505,29476,iso8601,900,0.6,66,-2.6,0,3.2,333,9.4,0.0,0.0,0.0,0.0,3,100,1011.6,962.8,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
15,Leonding,Oberösterreich,14.2528,48.28095,29244,iso8601,900,-4.6,79,-8.0,0,2.7,67,7.6,0.0,0.0,0.0,0.0,2,81,1014.7,977.0,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
16,Klosterneuburg,Niederösterreich,16.33115,48.30095,28152,iso8601,900,-2.0,79,-6.1,0,8.4,130,13.0,0.0,0.0,0.0,0.0,0,0,1015.6,992.7,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
17,Baden bei Wien,Niederösterreich,16.23056,47.99972,25931,iso8601,900,-1.8,69,-5.0,0,2.1,239,5.0,0.0,0.0,0.0,0.0,0,0,1015.7,986.4,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
18,Krems an der Donau,Niederösterreich,15.61667,48.41667,25473,iso8601,900,-3.1,80,-6.4,0,2.9,330,5.8,0.0,0.0,0.0,0.0,0,0,1015.3,987.0,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
19,Traun,Oberösterreich,14.23384,48.2218,25345,iso8601,900,-5.4,89,-8.9,0,3.7,79,8.6,0.0,0.0,0.0,0.0,3,85,1014.9,980.0,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
20,Wolfsberg,Kärnten,14.84944,46.84056,24961,iso8601,900,-3.8,81,-7.4,0,4.3,360,7.9,0.0,0.0,0.0,0.0,0,0,1018.3,955.7,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
21,Lustenau,Vorarlberg,9.65703,47.43012,24603,iso8601,900,-0.6,86,-4.0,0,6.1,357,10.1,0.0,0.0,0.0,0.0,3,100,1011.9,962.0,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
22,Leoben,Steiermark,15.0956,47.37987,24561,iso8601,900,-4.1,78,-7.3,0,1.5,194,5.8,0.0,0.0,0.0,0.0,0,0,1017.4,949.6,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
23,Amstetten,Niederösterreich,14.8725,48.12637,24008,iso8601,900,-4.9,83,-8.8,0,5.9,76,9.0,0.0,0.0,0.0,0.0,0,0,1015.0,974.0,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
24,Kapfenberg,Steiermark,15.29034,47.44476,21907,iso8601,900,-2.5,72,-6.0,0,3.7,191,9.0,0.0,0.0,0.0,0.0,0,0,1016.9,953.5,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
25,Hallein,Salzburg,13.09972,47.68333,21654,iso8601,900,-0.4,65,-4.5,0,8.4,149,14.4,0.0,0.0,0.0,0.0,3,100,1012.7,957.7,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
26,Schwechat,Niederösterreich,16.46972,48.12639,21243,iso8601,900,-1.2,71,-5.2,0,7.1,150,11.9,0.0,0.0,0.0,0.0,0,0,1015.7,995.4,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
27,Mödling,Niederösterreich,16.29228,48.08643,20662,iso8601,900,-1.4,65,-5.5,0,7.6,175,14.8,0.0,0.0,0.0,0.0,0,0,1015.6,987.7,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
28,Kufstein,Tirol,12.17,47.58472,20212,iso8601,900,-2.0,77,-6.0,0,8.1,193,15.5,0.0,0.0,0.0,0.0,3,100,1013.2,952.5,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
29,Traiskirchen,Niederösterreich,16.26972,48.01139,18925,iso8601,900,-1.8,72,-5.1,0,2.9,240,5.8,0.0,0.0,0.0,0.0,0,0,1015.7,988.8,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
30,Ansfelden,Oberösterreich,14.25833,48.21667,18271,iso8601,900,-5.4,89,-8.9,0,3.7,79,8.6,0.0,0.0,0.0,0.0,3,85,1014.9,980.1,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
31,Braunau am Inn,Oberösterreich,13.04611,48.25556,17604,iso8601,900,-4.6,88,-8.8,0,8.8,71,14.0,0.0,0.0,0.0,0.0,3,100,1013.6,969.5,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
32,Hohenems,Vorarlberg,9.68472,47.36556,17432,iso8601,900,-0.3,77,-3.4,0,3.4,18,7.6,0.0,0.0,0.0,0.0,3,100,1011.2,959.5,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
33,Saalfelden am Steinernen Meer,Salzburg,12.69889,47.4275,17299,iso8601,900,-7.7,53,-11.3,0,0.5,45,2.9,0.0,0.0,0.0,0.0,3,97,1016.1,892.2,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
34,Stockerau,Niederösterreich,16.21583,48.38556,17210,iso8601,900,-4.2,84,-8.0,0,5.8,86,9.7,0.0,0.0,0.0,0.0,0,0,1015.5,992.6,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
35,Tulln an der Donau,Niederösterreich,16.06472,48.33139,16951,iso8601,900,-3.3,73,-7.2,0,5.8,94,10.4,0.0,0.0,0.0,0.0,0,0,1015.2,992.5,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
36,Telfs,Tirol,11.07222,47.30833,16439,iso8601,900,-2.3,70,-5.8,0,3.3,257,5.4,0.0,0.0,0.0,0.0,3,99,1013.6,935.6,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
37,Eisenstadt,Burgenland,16.52667,47.84639,16118,iso8601,900,-1.2,75,-4.7,0,5.0,90,11.5,0.0,0.0,0.0,0.0,0,0,1016.1,993.7,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
38,Bruck an der Mur,Steiermark,15.27583,47.41667,15735,iso8601,900,-3.0,72,-6.4,0,2.9,180,5.4,0.0,0.0,0.0,0.0,0,0,1016.9,955.4,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
39,Spittal an der Drau,Kärnten,13.49889,46.79917,15341,iso8601,900,-3.2,75,-6.5,0,2.2,279,6.5,0.0,0.0,0.0,0.0,3,100,1018.0,948.7,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
40,Bludenz,Vorarlberg,9.82472,47.1575,15102,iso8601,900,0.7,77,-2.2,0,2.6,56,12.6,0.0,0.0,0.0,0.0,3,100,1010.3,932.1,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
41,Perchtoldsdorf,Niederösterreich,16.27,48.11056,14960,iso8601,900,-1.6,62,-5.5,0,5.2,164,12.2,0.0,0.0,0.0,0.0,0,0,1015.6,981.8,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
42,Marchtrenk,Oberösterreich,14.11111,48.19083,14815,iso8601,900,-5.8,89,-9.5,0,4.7,67,9.4,0.0,0.0,0.0,0.0,3,100,1014.9,976.3,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
43,Hall in Tirol,Tirol,11.52028,47.27639,14698,iso8601,900,-3.3,73,-6.6,0,1.3,146,7.9,0.0,0.0,0.0,0.0,3,100,1014.1,945.7,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
44,Ternitz,Niederösterreich,16.04167,47.71806,14697,iso8601,900,-2.8,62,-6.3,0,2.2,270,4.7,0.0,0.0,0.0,0.0,0,0,1015.6,966.7,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
45,Feldkirchen in Kärnten,Kärnten,14.10361,46.72667,14528,iso8601,900,-4.7,94,-7.8,0,1.9,22,5.0,0.0,0.0,0.0,0.0,1,31,1018.5,947.4,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
46,Schwaz,Tirol,11.70639,47.34639,14480,iso8601,900,-0.4,61,-4.3,0,6.1,177,13.0,0.0,0.0,0.0,0.0,3,100,1013.1,947.8,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
47,Wörgl,Tirol,12.06528,47.48556,14412,iso8601,900,-0.4,63,-4.1,0,5.0,159,9.7,0.0,0.0,0.0,0.0,3,100,1013.2,950.2,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
48,Bad Ischl,Oberösterreich,13.62111,47.71139,14107,iso8601,900,-2.5,71,-6.1,0,4.5,194,7.6,0.0,0.0,0.0,0.0,3,99,1014.3,956.0,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
49,Hard,Vorarlberg,9.7,47.48333,13639,iso8601,900,-0.8,89,-4.0,0,5.2,295,8.6,0.0,0.0,0.0,0.0,3,100,1011.9,962.5,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
50,Leibnitz,Steiermark,15.53333,46.78333,13517,iso8601,900,-1.1,89,-3.7,0,0.8,297,3.6,0.0,0.0,0.0,0.0,0,0,1016.7,982.4,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
51,Feldbach,Steiermark,15.88333,46.95,13495,iso8601,900,-1.5,88,-4.2,0,1.1,288,5.4,0.0,0.0,0.0,0.0,0,0,1016.6,979.9,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
52,Gmunden,Oberösterreich,13.79944,47.91861,13231,iso8601,900,-5.2,95,-8.3,0,1.8,37,4.0,0.0,0.0,0.0,0.0,45,99,1014.7,959.4,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
53,Vöcklabruck,Oberösterreich,13.64861,48.0,12989,iso8601,900,-5.2,91,-8.6,0,3.2,63,8.3,0.0,0.0,0.0,0.0,3,100,1014.6,958.7,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
54,Neunkirchen,Niederösterreich,15.96667,47.71667,12940,iso8601,900,-3.0,62,-6.3,0,0.4,180,6.5,0.0,0.0,0.0,0.0,0,0,1015.3,947.1,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
55,Ried im Innkreis,Oberösterreich,13.48833,48.21139,12766,iso8601,900,-4.9,85,-9.1,0,8.4,110,15.5,0.0,0.0,0.0,0.0,3,100,1014.0,959.9,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
56,Knittelfeld,Steiermark,14.81667,47.21667,12570,iso8601,900,-6.6,65,-10.6,0,4.1,285,7.9,0.0,0.0,0.0,0.0,0,0,1018.1,936.3,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
57,Hollabrunn,Niederösterreich,16.08056,48.55528,12514,iso8601,900,-3.0,73,-7.0,0,6.5,146,11.2,0.0,0.0,0.0,0.0,0,0,1015.2,986.4,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
58,Bad Vöslau,Niederösterreich,16.21667,47.96667,12478,iso8601,900,-2.3,74,-5.7,0,3.0,166,6.1,0.0,0.0,0.0,0.0,0,0,1015.7,983.5,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
