town,canton,longitude,latitude,inhabitants
Zürich,ZH,8.5410422,47.3744489,421878
Geneva,GE,6.1466014,46.2017559,203856
Basel,BS,7.5878261,47.5581077,178120
Lausanne,VD,6.6327025,46.5218269,140202
Bern,BE,7.4521749,46.9484742,134794
Winterthur,ZH,8.7291498,47.4991723,114220
Lucerne,LU,8.3054682,47.0505452,82620
St. Gallen,SG,9.3762397,47.425618,76213
Lugano,TI,8.9520281,46.0050102,62315
Biel/Bienne,BE,7.2439029,47.1402077,55206
Thun,BE,7.628086,46.7582827,43476
Bellinzona,TI,9.0205888,46.1920538,43360
Köniz[note 2],BE,,,42388
Fribourg,FR,7.1612669,46.8055656,38039
Schaffhausen,SH,8.634513,47.6960491,36952
La Chaux-de-Fonds,NE,6.8325778,47.1031321,36915
Chur,GR,9.5264904,46.854747,36336
Uster,ZH,8.7179221,47.3512065,35337
Sion,VS,7.3588795,46.2311749,34978
Vernier,GE,6.0815756,46.2131843,34898
Lancy,GE,6.1224047,46.1839156,33989
Neuchâtel,NE,6.9292641,46.9895828,33455
Emmen,LU,8.2839456,47.0752429,31039
Zug,ZG,8.5173652,47.1679898,30934
Yverdon-les-Bains,VD,6.6409158,46.7785711,29955
Dübendorf,ZH,8.6185666,47.3969942,29907
Kriens,LU,8.2807994,47.034146,28245
Dietikon,ZH,8.4030765,47.4050746,28057
Rapperswil-Jona,SG,8.8596509,47.2298277,27483
Meyrin,GE,6.0712016,46.2283226,26129
Montreux,VD,6.9129921,46.4310831,26090
Frauenfeld,TG,8.8963347,47.5561915,25974
Wetzikon (ZH),ZH,8.7980939,47.3226925,25056
Baar,ZG,8.5253985,47.1951976,24686
Bulle,FR,7.0581152,46.6190969,24412
La Tour-de-Trême,FR,7.0659142,46.6085534,24412
Wil (SG),SG,9.0415478,47.465266,24132
Horgen,ZH,8.5976831,47.260692,23090
Carouge (GE),GE,6.1396839,46.1846691,22536
Kreuzlingen,TG,9.1725621,47.6464362,22390
Bülach,ZH,8.5407118,47.5172321,21998
Wädenswil,ZH,8.6701365,47.2278988,21792
Riehen,BS,7.6479737,47.5816927,21788
Aarau,AG,8.0444448,47.3927146,21726
Nyon,VD,6.2402791,46.3820585,21718
Allschwil[note 2],BL,,,21563
Wettingen,AG,8.3266114,47.465839,21099
Opfikon,ZH,8.5779983,47.4322671,20954
Renens (VD),VD,6.5928442,46.5349093,20834
Kloten,ZH,8.5861477,47.4525133,20429
Schlieren,ZH,8.4444861,47.3965147,19881
Vevey,VD,6.8418655,46.4602978,19752
Baden,AG,8.3086822,47.4736827,19621
Reinach (BL),BL,7.5910891,47.4935369,19260
Adliswil,ZH,8.52491,47.3117624,19049
Onex,GE,6.1007481,46.1837841,18933
Volketswil,ZH,8.690503,47.3898617,18865
Glarus Nord*,GL,9.0796635,47.1066686,18832
Pully,VD,6.6617476,46.5098019,18694
Regensdorf,ZH,8.4680435,47.4317645,18568
Olten,SO,7.903787,47.3496571,18496
Martigny,VS,7.0727354,46.103115,18291
Thalwil,ZH,8.5635762,47.2944325,18278
Muttenz,BL,7.6477401,47.525113,18020
Gossau (SG),SG,9.249359,47.4155906,17990
Monthey,VS,6.9478263,46.252844,17820
Ostermundigen,BE,7.4911242,46.9582779,17758
Grenchen,SO,7.3967199,47.1911495,17577
Wallisellen,ZH,8.5919985,47.4166195,17218
Cham,ZG,8.4611036,47.1823761,17042
Wohlen (AG),AG,8.2786906,47.3504945,16881
Sierre,VS,7.5323195,46.2922522,16819
